timestamp_start,"2025-11-24 20:25:25"
file,"C:\laragon\www\jagapadi/MFD.csv"

kode_error,id_record,pesan_error
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
PARSE,,"line not matched"
SUMMARY,processed,7228
SUMMARY,success,7152
SUMMARY,failed,76

timestamp_end,"2025-11-24 20:25:33"
